URL,uuid
https://arxiv.org/pdf/2209.01657,f7f12a3e-78ff-4f1d-944b-d5e9b8215fb5
https://arxiv.org/pdf/2304.11858,97fe60ab-8c49-460d-a3a4-bcb0873af3e8
https://ijsart.com/public/storage/paper/pdf/IJSARTV10I489706.pdf,a0b2fd86-bf88-4c6a-b43d-47a6659aed48
https://arxiv.org/pdf/2209.01683,a90b5ebf-0f17-4a72-bbc8-7bdd6f1223da
https://www.researchgate.net/publication/228522740_Iris_Recognition_under_Alcohol_Influence_A_Preliminary_Study,b3386a33-bbd0-463c-890b-2c186f7376f4
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9502109,3d585578-d19a-4a25-8fb9-6ef623ffc384
https://pmc.ncbi.nlm.nih.gov/articles/PMC11748063/,80782a95-1c39-4ad8-bec1-02c4f632bc87
https://pmc.ncbi.nlm.nih.gov/articles/PMC8465466/,85a983ce-2881-4995-98ed-d46fe735af3b
https://www.mdpi.com/2254-9625/12/9/99,18e28d3e-b36f-4b44-9db5-ddb80e21e878
https://openaccess.thecvf.com/content/CVPR2024W/ABAW/papers/Dhake_Unravelling_Robustness_of_Deep_Face_Recognition_Networks_Against_Illicit_Drug_CVPRW_2024_paper.pdf,4132b73c-0592-4c57-9191-c45cbecf6430
https://www.researchgate.net/publication/335341629_Face_Attributes_and_Detection_of_Drug_Addicts,b7e019a1-b694-45da-8e2b-7283172dd7da
https://www.engineeringletters.com/issues_v31/issue_3/EL_31_3_23.pdf,ddcfbd47-85dd-4c86-ab2a-87123464fbf2
https://pmc.ncbi.nlm.nih.gov/articles/PMC4905685/,e9fee161-f5ad-4a8d-978a-94a0c13557f4
https://hal.science/hal-03489500v1/file/S0010482519303452.pdf,02079137-d406-4398-84d7-a4d1aeaf2ed7
https://ieeexplore.ieee.org/document/7477556,3692345a-d6af-41e3-b1c9-e9ce1defbf0f
https://www.mdpi.com/2078-2489/16/5/413,84aaa525-04cb-416f-9a29-24400a48a3d6
https://www.mdpi.com/2079-9292/11/23/3924,88940355-4a96-4d2b-be57-aeed60d30e56
https://ieeexplore.ieee.org/document/8538761,a92e3d39-43ce-4e43-a72b-ca3b5cdcdba4
https://www.researchgate.net/publication/326219591_Intoxication_Identification_Using_Thermal_Imaging,27b1731a-f91d-45fc-9e97-f542a7ec2990
https://pubmed.ncbi.nlm.nih.gov/27404407/,a4ed8c79-868a-48d2-b7f4-7768a32e76b2
https://pubmed.ncbi.nlm.nih.gov/3387346/,a332c172-57c4-458f-b124-65deaa7ed45d
https://www.sciencedirect.com/science/article/pii/S1752928X23000203,2f683c34-534d-40fb-803f-3620961d4cc8
https://www.nature.com/articles/s41598-023-39104-7,1c957742-7f54-445f-9963-6a9f95075f55
https://pmc.ncbi.nlm.nih.gov/articles/PMC11884307/,5cc21596-c2bb-4a78-8ce4-41464862d6cf
https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2024.1342108/full,ad0dde12-7ef3-4001-b2fb-170f386ded3a
https://formative.jmir.org/2025/1/e73811,8e6274e9-3571-4ad1-a5b1-f3bf1ff8ac00
https://ieeexplore.ieee.org/document/7153161,0c2cda9b-71a6-4e70-b97d-176c46e3e477
https://pmc.ncbi.nlm.nih.gov/articles/PMC6886135/,6f747d73-6386-4b3b-833d-428f72cf3c07
https://pmc.ncbi.nlm.nih.gov/articles/PMC4545665/,2dceb668-bffe-4d0b-a568-6d84ee305341
https://thegrenze.com/pages/servej.php?fn=793.pdf&name=Drugged%20Eye%20Detection%20using%20Image%20Processing&id=3529&association=GRENZE&journal=GIJET&year=2024&volume=10&issue=2,b4eb715f-09c7-461a-ba1a-2bfe4f6750b7
https://washacad.org/wp-content/uploads/2024/04/motkuri_slides.pdf,695da190-060e-4dea-855f-400c3ef587af
https://www.medrxiv.org/content/10.1101/2023.10.12.23296882v1.full,36c21811-d3b7-42a6-b2a0-01c7023f63a2
https://arxiv.org/html/2510.09916v1,78784172-0e98-4394-8b24-c502900a73b4
https://www.mdpi.com/2076-3417/15/15/8509,da4a8aeb-2267-46da-8807-285437fc6b5d
https://openaccess.thecvf.com/content/WACV2025W/HAVI/papers/Bouraffa_Deep_Learning-based_rPPG_Models_towards_Automotive_Applications_A_Benchmark_Study_WACVW_2025_paper.pdf,1f8b7072-995a-4874-8487-96d9eaa42d87
https://www.mdpi.com/2076-3417/13/3/1390,1c4d4a42-c18c-41a4-b61a-77157f8057c5